App,Incorrectly Pinned SSC,SSL Mixing,Allow All Hostnames,Allow All Trust Manager
Colormania - Guess the Colors,False,True,False,False
Reward Hunter,False,True,False,False
pokemonquiz,False,True,False,False
SWAT & Zombie,False,True,False,False
Speedboat Shooting,False,True,False,False
Chess Free,False,True,False,False
AngryHeroes,False,True,False,False
* Numbers Addict *,False,True,False,False
Ex Bike,False,True,False,False
Pocket Tanks,False,True,False,False
Candy Crush Saga Tips,False,True,False,False
HR Battle 2,False,True,False,False
Moron Test: Section 2,False,True,False,False
EgyptReelsOfLuxor,False,False,False,False
Mahjong Dlx HDF,False,True,False,False
Jewels Maze!,False,True,False,False
Zombie World War,False,True,False,False
Hungry Shark 3,False,True,False,False
Titanic,False,True,False,False
Any Emulator ROMS,False,True,False,False
Prize Claw,False,True,False,False
Icomania,False,True,False,False
Colony Attack,False,True,False,False
CK Zombies,False,True,False,False
Archery,False,True,False,False
Hobbit: KoM,False,True,False,False
Domino Solitaire,False,True,False,False
SG: DeadZone,False,True,False,False
MathOpen,False,True,False,False
Memory,False,True,False,False
IQ Test,False,True,False,False
Creeper Def,False,True,False,False
Alchemy Classic HD,False,True,False,False
Mind Games,False,True,False,False
Angry Birds,False,True,False,False
Yachty,False,True,False,False
Bubble Blast,False,True,False,False
Crossword Pop,False,True,False,False
Burn,False,True,False,False
Hidden Objects,False,True,False,False
graBLOX,False,True,False,False
Your Island DEMO,False,False,False,False
Quizoid,False,True,False,False
War of Legions,False,True,False,False
Alchemy,False,True,False,False
Mickey Mouse Clubhouse Matching Games,False,False,False,False
Jungle Heat,False,True,False,False
Dark Legends,False,True,False,False
Go Free,False,False,False,False
What's The Saying?,False,True,False,False
